Status,"Onsite 
Year","Completion
Year","Housing 
Association",Scheme Name,Location ,Units,Type,"Need 
Group",StrategicGroup,HE Region,Local Government District ,"Parliamentary 
Constituency ",Lat,Long,PlanningRef,
Completed 22/23,2018/19,2022/23,Choice,"Belvedere, Upper Dunmurry Lane",Belfast,2,New Build,Wheelchair Standard,Urban,Belfast,Belfast,West Belfast,54.56172276,-6.017438799,https://planningregister.planningsystemni.gov.uk/application/483916,
Completed 22/23,2018/19,2022/23,Clanmil,Mountview Drive & Skyline Drive ,Lisburn,30,Rehab,General Needs,Urban,Belfast,Lisburn & Castlereagh,Lagan Valley,54.52783849,-6.03782644,,
Completed 22/23,2018/19,2022/23,Clanmil,Glenwhirry Court,Newtownabbey,18,Rehab,General Needs,Urban,North,Antrim & Newtownabbey,East Antrim,54.67773506,-5.90055489,,
Completed 22/23,2018/19,2022/23,Clanmil,Glenwhirry Court,Newtownabbey,18,Rehab,Active Elderly,Urban,North,Antrim & Newtownabbey,East Antrim,54.67739388,-5.899987123,,
Completed 22/23,2018/19,2022/23,Clanmil,62 University Street,Belfast,3,Rehab,General Needs,Urban,Belfast,Belfast,South Belfast,54.58628122,-5.931075374,,
Completed 22/23,2018/19,2022/23,Habinteg,Site adjacent to 66 Duke Street,Londonderry,41,New Build,Active Elderly,Urban,North,Derry & Strabane ,Foyle,54.99103252,-7.313528082,,
Completed 22/23,2018/19,2022/23,Habinteg,Site adjacent to 66 Duke Street,Londonderry,1,New Build,Wheelchair Standard,Urban,North,Derry & Strabane ,Foyle,54.99096135,-7.313588979,,
Completed 22/23,2019/20,2022/23,Apex,Areema Drive ,Dunmurry,16,New Build,General Needs,Urban,Belfast,Belfast,West Belfast,54.55189753,-6.013669742,https://planningregister.planningsystemni.gov.uk/application/502828,
Completed 22/23,2019/20,2022/23,Apex,Areema Drive ,Dunmurry,4,New Build,Wheelchair Standard,Urban,Belfast,Belfast,West Belfast,54.55161634,-6.012505501,https://planningregister.planningsystemni.gov.uk/application/502828,
Completed 22/23,2019/20,2022/23,Apex,Areema Drive ,Dunmurry,2,New Build,Active Elderly,Urban,Belfast,Belfast,West Belfast,54.55169404,-6.014001471,https://planningregister.planningsystemni.gov.uk/application/502828,
Completed 22/23,2019/20,2022/23,Arbour ,"Sloanhill, Hill Street",Lurgan,23,New Build,General Needs,Urban,South,Armagh Banbridge & Craigavon,Upper Bann,54.46164505,-6.341875218,,
Completed 22/23,2019/20,2022/23,Arbour ,"Sloanhill, Hill Street",Lurgan,1,New Build,Wheelchair Standard,Urban,South,Armagh Banbridge & Craigavon,Upper Bann,54.46170899,-6.341279683,,
Completed 22/23,2019/20,2022/23,Ark,22 John Street Lane,Newtownards,5,New Build,General Needs,Urban,South,Ards & North Down,Strangford,54.59275338,-5.699134498,https://planningregister.planningsystemni.gov.uk/application/575345,
Completed 22/23,2019/20,2022/23,Ark,28 Great James Street,Londonderry,9,Off The Shelf,General Needs,Urban,North,Derry & Strabane ,Foyle,54.99995002,-7.325018649,,
Completed 22/23,2019/20,2022/23,Clanmil,St Gemma's High School Site,Belfast,50,New Build,General Needs,Urban,Belfast,Belfast,North Belfast,54.61424243,-5.953739899,https://planningregister.planningsystemni.gov.uk/application/509143,
Completed 22/23,2019/20,2022/23,Clanmil,St Gemma's High School Site,Belfast,3,New Build,Wheelchair Standard,Urban,Belfast,Belfast,North Belfast,54.61458784,-5.95340817,https://planningregister.planningsystemni.gov.uk/application/509143,
Completed 22/23,2019/20,2022/23,Clanmil,Brookfield Mill,Belfast,77,New Build,General Needs,Urban,Belfast,Belfast,North Belfast,54.61230715,-5.957882583,https://planningregister.planningsystemni.gov.uk/application/467080,
Completed 22/23,2019/20,2022/23,Habinteg,Central Drive,Londonderry,6,Off The Shelf,General Needs,Urban,North,Derry & Strabane ,Foyle,54.99465344,-7.346240489,https://planningregister.planningsystemni.gov.uk/application/264596,
Completed 22/23,2019/20,2022/23,Newington/Apex ,48 Brucevale Park,Belfast,1,Rehab,General Needs,Urban,Belfast,Belfast,North Belfast,54.61315072,-5.939815633,,
Completed 22/23,2019/20,2022/23,Newington/Apex ,40 Clifton Crescent,Belfast,1,Rehab,General Needs,Urban,Belfast,Belfast,North Belfast,54.61483336,-5.94361986,,
Completed 22/23,2019/20,2022/23,Newington/Apex ,2A Victoria Parade,Belfast,1,Rehab,General Needs,Urban,Belfast,Belfast,North Belfast,54.60901637,-5.929608579,,
Completed 22/23,2019/20,2022/23,Radius,"Moylinney, 37 Ballyalton Park",Newtownabbey,6,New Build,General Needs,Urban,North,Antrim & Newtownabbey,East Antrim,54.68863322,-5.912343023,https://planningregister.planningsystemni.gov.uk/application/165400,
Completed 22/23,2019/20,2022/23,Radius,"Moylinney, 37 Ballyalton Park",Newtownabbey,14,New Build,Active Elderly,Urban,North,Antrim & Newtownabbey,East Antrim,54.68883695,-5.912649234,https://planningregister.planningsystemni.gov.uk/application/165400,
Completed 22/23,2020/21,2022/23,Alpha,Fir Park,Ballymena,14,New Build,Active Elderly,Rural,North,Mid & East Antrim,North Antrim,54.89431629,-6.205538135,https://planningregister.planningsystemni.gov.uk/application/302421,
Completed 22/23,2020/21,2022/23,Apex,Hass Road Phase 3 ,Dungiven,18,New Build,General Needs,Rural,North,Causeway Coast & Glens,East Londonderry,54.92892288,-6.915361174,https://planningregister.planningsystemni.gov.uk/application/136491,
Completed 22/23,2020/21,2022/23,Apex,Hass Road Phase 3 ,Dungiven,4,New Build,Wheelchair Standard,Rural,North,Causeway Coast & Glens,East Londonderry,54.92810912,-6.915737559,https://planningregister.planningsystemni.gov.uk/application/136491,
Completed 22/23,2020/21,2022/23,Apex,"7-9 Bishop Street, Londonderry (Womens Aid)",Londonderry,9,New Build,Vulnerable Women,Supported,North,Derry & Strabane ,Foyle,54.99519496,-7.322826282,https://planningregister.planningsystemni.gov.uk/application/205128,
Completed 22/23,2020/21,2022/23,Apex,Hass Road Phase 3A ,Dungiven,1,New Build,Wheelchair Standard,Rural,North,Causeway Coast & Glens,East Londonderry,54.92825607,-6.91497657,,
Completed 22/23,2020/21,2022/23,Arbour ,42/44/52/56 Fort Street,Banbridge,4,Rehab,Active Elderly,Urban,South,Armagh Banbridge & Craigavon,Upper Bann,54.34273966,-6.276535709,,
Completed 22/23,2020/21,2022/23,Arbour ,41 Belfast Road,Newry,7,New Build,General Needs,Urban,South,Newry Mourne & Down,Newry & Armagh,54.19155879,-6.33458608,https://planningregister.planningsystemni.gov.uk/application/501683,
Completed 22/23,2020/21,2022/23,Arbour ,41 Belfast Road,Newry,13,New Build,Active Elderly,Urban,South,Newry Mourne & Down,Newry & Armagh,54.19145901,-6.334576661,https://planningregister.planningsystemni.gov.uk/application/501683,
Completed 22/23,2020/21,2022/23,Arbour ,41 Belfast Road,Newry,1,New Build,Wheelchair Standard,Urban,South,Newry Mourne & Down,Newry & Armagh,54.19137192,-6.334614677,https://planningregister.planningsystemni.gov.uk/application/501683,
Completed 22/23,2020/21,2022/23,Ark,1-3 Evelyn Avenue,Belfast,6,New Build,General Needs,Urban,Belfast,Belfast,East Belfast,54.59623328,-5.883491943,https://planningregister.planningsystemni.gov.uk/application/463286,
Completed 22/23,2020/21,2022/23,Ark,50-52 Hill Street,Newry,16,Off The Shelf,General Needs,Urban,South,Newry Mourne & Down,Newry & Armagh,54.60239806,-5.927261142,,
Completed 22/23,2020/21,2022/23,Ark,454-458 Donegall Road,Belfast,10,Off The Shelf,Active Elderly,Urban,Belfast,Belfast,West Belfast,54.58799788,-5.962116804,https://planningregister.planningsystemni.gov.uk/application/500433,
Completed 22/23,2020/21,2022/23,Ark,136-138 University Avenue,Belfast,13,New Build,General Needs,Urban,Belfast,Belfast,South Belfast,54.58553755,-5.923989201,https://planningregister.planningsystemni.gov.uk/application/500100,
Completed 22/23,2020/21,2022/23,Ark,Ravensdale Street,Belfast,6,New Build,General Needs,Urban,Belfast,Belfast,East Belfast,54.5917152,-5.896204861,https://planningregister.planningsystemni.gov.uk/application/506110,
Completed 22/23,2020/21,2022/23,Choice,Old Mill Drive ,Newtownabbey,1,New Build,Wheelchair Standard,Urban,North,Antrim & Newtownabbey,North Belfast,54.65210357,-5.922953947,https://planningregister.planningsystemni.gov.uk/application/151018,
Completed 22/23,2020/21,2022/23,Choice,5-17 George Street,Ballymena,19,New Build,General Needs,Urban,North,Mid & East Antrim,North Antrim,54.86523287,-6.27891875,https://planningregister.planningsystemni.gov.uk/application/349713,
Completed 22/23,2020/21,2022/23,Choice,5-17 George Street,Ballymena,2,New Build,Wheelchair Standard,Urban,North,Mid & East Antrim,North Antrim,54.86503749,-6.278689806,https://planningregister.planningsystemni.gov.uk/application/349713,
Completed 22/23,2020/21,2022/23,Choice,"Cairnmartin, Phase 2 ",Belfast,16,New Build,General Needs,Urban,Belfast,Belfast,West Belfast,54.61373383,-5.970791796,https://planningregister.planningsystemni.gov.uk/application/505260,
Completed 22/23,2020/21,2022/23,Choice,"Cairnmartin, Phase 2 ",Belfast,10,New Build,Wheelchair Standard,Urban,Belfast,Belfast,West Belfast,54.61328408,-5.970380322,https://planningregister.planningsystemni.gov.uk/application/505260,
Completed 22/23,2020/21,2022/23,Choice,Drumellan ,Craigavon,5,New Build,Wheelchair Standard,Urban,South,Armagh Banbridge & Craigavon,Upper Bann,54.44112252,-6.365035369,https://planningregister.planningsystemni.gov.uk/application/659538,
Completed 22/23,2020/21,2022/23,Choice,Lewis Square (Blocks B & C),Belfast,27,New Build,General Needs,Urban,Belfast,Belfast,East Belfast,54.5994384,-5.888735988,https://planningregister.planningsystemni.gov.uk/application/437994,
Completed 22/23,2020/21,2022/23,Choice,Lewis Square (Blocks B & C),Belfast,2,New Build,Wheelchair Standard,Urban,Belfast,Belfast,East Belfast,54.59942096,-5.889401739,https://planningregister.planningsystemni.gov.uk/application/437994,
Completed 22/23,2020/21,2022/23,Choice,Fincairn Road,Drumahoe,9,New Build,General Needs,Urban,North,Derry & Strabane ,Foyle,54.98395746,-7.269956965,,
Completed 22/23,2020/21,2022/23,Choice,Fincairn Road,Drumahoe,1,New Build,Wheelchair Standard,Urban,North,Derry & Strabane ,Foyle,54.9845671,-7.268682178,,
Completed 22/23,2020/21,2022/23,Clanmil,Foxhill,Londonderry,3,New Build,General Needs,Urban,North,Derry & Strabane ,Foyle,54.98435619,-7.32198621,https://planningregister.planningsystemni.gov.uk/application/234519,
Completed 22/23,2020/21,2022/23,Clanmil,"Molesworth Plaza, Molesworth Street",Cookstown,15,Off The Shelf,General Needs,Urban,South,Mid Ulster,Mid Ulster,54.64602436,-6.739181256,,
Completed 22/23,2020/21,2022/23,Clanmil,Sloane Crescent ,Killyleagh,4,New Build,General Needs,Rural,South,Newry Mourne & Down,Strangford,54.40618651,-5.648941911,https://planningregister.planningsystemni.gov.uk/application/508232,
Completed 22/23,2020/21,2022/23,Clanmil,Sloane Crescent ,Killyleagh,1,New Build,Wheelchair Standard,Rural,South,Newry Mourne & Down,Strangford,54.40599743,-5.648474632,https://planningregister.planningsystemni.gov.uk/application/508232,
Completed 22/23,2020/21,2022/23,Clanmil,Glenbryn Phase 3 ,Belfast,11,New Build,General Needs,Urban,Belfast,Belfast,North Belfast,54.61826983,-5.965913033,https://planningregister.planningsystemni.gov.uk/application/468924,
Completed 22/23,2020/21,2022/23,Clanmil,Glenbryn Phase 3 ,Belfast,1,New Build,Wheelchair Standard,Urban,Belfast,Belfast,North Belfast,54.61847418,-5.965076806,https://planningregister.planningsystemni.gov.uk/application/468924,
Completed 22/23,2020/21,2022/23,Clanmil,757-759 Upper Newtownards Road,Belfast,15,New Build,Active Elderly,Urban,Belfast,Lisburn & Castlereagh,East Belfast,54.59415966,-5.819243282,https://planningregister.planningsystemni.gov.uk/application/262369,
Completed 22/23,2020/21,2022/23,Connswater,Milewater Road ,New Mossley,34,New Build,General Needs,Urban,North,Antrim & Newtownabbey,South Antrim,54.69094969,-5.956684621,,
Completed 22/23,2020/21,2022/23,Connswater,Milewater Road ,New Mossley,10,New Build,Active Elderly,Urban,North,Antrim & Newtownabbey,South Antrim,54.69119688,-5.95807642,,
Completed 22/23,2020/21,2022/23,Connswater,Milewater Road ,New Mossley,6,New Build,Wheelchair Standard,Urban,North,Antrim & Newtownabbey,South Antrim,54.69099426,-5.955457047,,
Completed 22/23,2020/21,2022/23,Habinteg,Abercorn Road,Londonderry,3,Rehab,General Needs,Urban,North,Derry & Strabane ,Foyle,54.99141707,-7.32395234,,
Completed 22/23,2020/21,2022/23,NB Housing,35 Glasvey Close,Belfast,1,Rehab,General Needs,Urban,Belfast,Belfast,West Belfast,55.04060877,-7.033883762,,
Completed 22/23,2020/21,2022/23,Radius,Blinne Court,Cloughoge,9,Off The Shelf,General Needs,Rural,South,Newry Mourne & Down,Newry & Armagh,54.14234902,-6.359362121,,
Completed 22/23,2020/21,2022/23,Radius,Hopewell Street ,Belfast,16,New Build,General Needs,Urban,Belfast,Belfast,West Belfast,54.60690654,-5.941906726,,
Completed 22/23,2020/21,2022/23,Radius,Hopewell Street ,Belfast,2,New Build,Wheelchair Standard,Urban,Belfast,Belfast,West Belfast,54.60652363,-5.941204934,,
Completed 22/23,2020/21,2022/23,Triangle,"Harpurs Hill, Phase 2 ",Coleraine,4,New Build,General Needs,Urban,North,Causeway Coast & Glens,East Londonderry,55.13823805,-6.652022787,https://planningregister.planningsystemni.gov.uk/application/135641,
Completed 22/23,2020/21,2022/23,Triangle,"Harpurs Hill, Phase 2 ",Coleraine,3,New Build,Wheelchair Standard,Urban,North,Causeway Coast & Glens,East Londonderry,55.1379163,-6.650845816,https://planningregister.planningsystemni.gov.uk/application/135641,
Completed 22/23,2020/21,2022/23,Triangle,31 Belfast Road,Antrim,8,Off The Shelf,General Needs,Urban,North,Antrim & Newtownabbey,South Antrim,54.71168668,-6.204200552,,
Completed 22/23,2020/21,2022/23,Triangle,31 Belfast Road,Antrim,18,Off The Shelf,Active Elderly,Urban,North,Antrim & Newtownabbey,South Antrim,54.71163141,-6.203902276,,
Completed 22/23,2021/22,2022/23,Apex,Beragh Hill Infill Site,Londonderry,15,New Build,General Needs,Urban,North,Derry & Strabane ,Foyle,55.03904709,-7.332721519,,
Completed 22/23,2021/22,2022/23,Arbour ,Causeway End Road,Lisburn,2,New Build,General Needs,Urban,Belfast,Lisburn & Castlereagh,Lagan Valley,54.5136829,-6.075654609,,
Completed 22/23,2021/22,2022/23,Arbour ,58 Fort Street,Banbridge,1,Rehab,Active Elderly,Urban,South,Armagh Banbridge & Craigavon,Upper Bann,54.34256247,-6.276333133,,
Completed 22/23,2021/22,2022/23,Ark,Old PSNI Site,Dromara,8,Off The Shelf,General Needs,Rural,Belfast,Lisburn & Castlereagh,Lagan Valley,54.37968353,-6.017851663,,
Completed 22/23,2021/22,2022/23,Choice,Lewis Square (Block A),Belfast,14,New Build,Active Elderly,Urban,Belfast,Belfast,East Belfast,54.59915586,-5.889417873,https://planningregister.planningsystemni.gov.uk/application/437994,
Completed 22/23,2021/22,2022/23,Choice,Lewis Square (Block A),Belfast,1,New Build,Wheelchair Standard,Urban,Belfast,Belfast,East Belfast,54.59921653,-5.888540989,https://planningregister.planningsystemni.gov.uk/application/437994,
Completed 22/23,2021/22,2022/23,Choice,5 Harmin Parade,Glengormley,1,Existing Satisfactory Purchase,General Needs,Urban,North,Antrim & Newtownabbey,North Belfast,54.67240664,-5.961334656,,
Completed 22/23,2021/22,2022/23,Choice,"Fincairn Road, Phase 2",Drumahoe,8,Off The Shelf,General Needs,Urban,North,Derry & Strabane ,Foyle,54.9841823,-7.269498556,,
Completed 22/23,2021/22,2022/23,Choice,"53 & 54 Belle Bashford Court, Belfast",Belfast,2,Existing Satisfactory Purchase,Active Elderly,Urban,Belfast,Belfast,East Belfast,54.59444704,-5.907255128,,
Completed 22/23,2021/22,2022/23,Connswater,43 Braden Heights,Newtownabbey,1,Existing Satisfactory Purchase,General Needs,Urban,North,Antrim & Newtownabbey,North Belfast,54.66699734,-5.925684562,,
Completed 22/23,2021/22,2022/23,Habinteg,20 Cregagh Road,Belfast,9,Off The Shelf,General Needs,Urban,Belfast,Belfast,East Belfast,54.5851264,-5.899291096,,
Completed 22/23,2021/22,2022/23,Newington/Apex ,2 Maralin Place,Belfast,1,Rehab,General Needs,Urban,Belfast,Belfast,North Belfast,54.61100411,-5.934474882,,
Completed 22/23,2021/22,2022/23,Newington/Apex ,8 Lothair Avenue,Belfast,1,Rehab,General Needs,Urban,Belfast,Belfast,North Belfast,54.61712073,-5.936093974,,
Completed 22/23,2021/22,2022/23,Newington/Apex ,38 Eia Street,Belfast,1,Rehab,General Needs,Urban,Belfast,Belfast,North Belfast,54.61551626,-5.939022561,,
Completed 22/23,2021/22,2022/23,Newington/Apex ,36 Thorndale Avenue,Belfast,1,Rehab,General Needs,Urban,Belfast,Belfast,North Belfast,54.61140972,-5.936652204,,
Completed 22/23,2021/22,2022/23,Rural,1 Castle Cottage Close,Carrowdore,1,Existing Satisfactory Purchase,General Needs,Rural,South,Ards & North Down,Strangford,54.57461987,-5.556011655,,
Completed 22/23,2021/22,2022/23,Rural,11 Birch Crescent,Ballyhalbert,1,Existing Satisfactory Purchase,General Needs,Rural,South,Ards & North Down,Strangford,54.49505727,-5.466776762,,
Completed 22/23,2021/22,2022/23,Rural,153 The Old Fort,Strathfoyle,1,Existing Satisfactory Purchase,General Needs,Rural,North,Derry & Strabane ,Foyle,55.03352651,-7.262355826,,
Completed 22/23,2021/22,2022/23,Triangle,"Apartment 9, 2 John Street",Ballymoney,1,Existing Satisfactory Purchase,General Needs,Urban,North,Causeway Coast & Glens,North Antrim,55.07185785,-6.515283574,,
Completed 22/23,2021/22,2022/23,Triangle,"Old Distillery Gardens, Church Street",Limavady,12,Off The Shelf,General Needs,Urban,North,Causeway Coast & Glens,East Londonderry,55.05206519,-6.942588449,,
Completed 22/23,2021/22,2022/23,Triangle  ,57 Church Street,Limavady,23,Off The Shelf,General Needs,Urban,North,Causeway Coast & Glens,East Londonderry,55.05175558,-6.941976527,,
Completed 22/23,2022/23,2022/23,Habinteg,64-66 Spencer Road,Derry,4,Off The Shelf,General Needs,Urban,North,Derry & Strabane ,Foyle,54.98998429,-7.313565645,,
Completed 22/23,2022/23,2022/23,NB Housing,14 Wolfhill Manor,Belfast,1,Rehab,General Needs,Urban,Belfast,Belfast,North Belfast,54.63112076,-5.993289465,,
Completed 22/23,2022/23,2022/23,NB Housing,17 & 18 Rockfield Meadows,Carrowdore,2,Off The Shelf,General Needs,Rural,South,Ards & North Down,Strangford,54.57314926,-5.55708745,,
Completed 22/23,2022/23,2022/23,Radius,31 Main Street,Greyabbey,1,Existing Satisfactory Purchase,General Needs,Rural,South,Ards & North Down,Strangford,54.53580497,-5.559131656,,
Completed 22/23,2022/23,2022/23,Radius,30 Abbey Court,Belfast,1,Existing Satisfactory Purchase,Elderly Sheltered,Urban,Belfast,Belfast,East Belfast,54.59182415,-5.835820579,,
Completed 22/23,2022/23,2022/23,Radius,9 Drummond Court,Larne,1,Existing Satisfactory Purchase,General Needs,Urban,North,Mid & East Antrim,East Antrim,54.84849006,-5.822412922,,
Construction On-going,2014/15,2022/23,Choice/Radius,Hannahstown Phase 1A ,Belfast,89,New Build,General Needs,Urban,Belfast,Belfast,West Belfast,54.57997142,-6.008139168,,
Construction On-going,2014/15,2022/23,Choice/Radius,Hannahstown Phase 1A ,Belfast,3,New Build,Wheelchair Standard,Urban,Belfast,Belfast,West Belfast,54.57907768,-6.009303467,,
Construction On-going,2016/17,2023/24,Arbour ,Canal Street Phase 4,Newry,7,New Build,General Needs,Urban,South,Newry Mourne & Down,Newry & Armagh,54.18038008,-6.339288393,,
Construction On-going,2017/18,2022/23,Habinteg,Carnagat Road,Newry,24,New Build,General Needs,Urban,South,Newry Mourne & Down,Newry & Armagh,54.18394098,-6.359846553,https://planningregister.planningsystemni.gov.uk/application/427719,
Construction On-going,2017/18,2022/23,Habinteg,Carnagat Road,Newry,14,New Build,Active Elderly,Urban,South,Newry Mourne & Down,Newry & Armagh,54.1835784,-6.359784748,https://planningregister.planningsystemni.gov.uk/application/427719,
Construction On-going,2017/18,2022/23,Habinteg,Carnagat Road,Newry,6,New Build,Wheelchair Standard,Urban,South,Newry Mourne & Down,Newry & Armagh,54.18262734,-6.359751242,https://planningregister.planningsystemni.gov.uk/application/427719,
Construction On-going,2017/18,2023/24,Radius,83/89 Drumalane Road,Newry,52,New Build,General Needs,Urban,South,Newry Mourne & Down,Newry & Armagh,54.16036752,-6.340128208,https://planningregister.planningsystemni.gov.uk/application/489659,
Construction On-going,2017/18,2023/24,Radius,"Visteon, Blacks Road",Belfast,186,New Build,General Needs,Urban,Belfast,Belfast,West Belfast,54.56464174,-5.996565577,https://planningregister.planningsystemni.gov.uk/application/450867,
Construction On-going,2017/18,2023/24,Radius,"Visteon, Blacks Road",Belfast,10,New Build,Wheelchair Standard,Urban,Belfast,Belfast,West Belfast,54.56296491,-5.994512729,https://planningregister.planningsystemni.gov.uk/application/450867,
Construction On-going,2018/19,2022/23,Apex,Galliagh Phase 4,Londonderry,135,New Build,General Needs,Urban,North,Derry & Strabane ,Foyle,55.03050577,-7.331705524,,
Construction On-going,2018/19,2022/23,Apex,Galliagh Phase 4,Londonderry,11,New Build,Wheelchair Standard,Urban,North,Derry & Strabane ,Foyle,55.0297758,-7.332915278,,
Construction On-going,2018/19,2022/23,Choice,Bishop Street,Londonderry,24,Rehab,General Needs,Urban,North,Derry & Strabane ,Foyle,54.98960597,-7.329915415,https://planningregister.planningsystemni.gov.uk/application/219686,Kevin Watson Group
Construction On-going,2018/19,2022/23,Choice,Bishop Street,Londonderry,16,New Build,General Needs,Urban,North,Derry & Strabane ,Foyle,54.98975712,-7.329631341,https://planningregister.planningsystemni.gov.uk/application/219686,Kevin Watson Group
Construction On-going,2018/19,2022/23,Choice,Bishop Street,Londonderry,21,New Build,Active Elderly,Urban,North,Derry & Strabane ,Foyle,54.98938748,-7.329574136,https://planningregister.planningsystemni.gov.uk/application/219686,Kevin Watson Group
Construction On-going,2018/19,2022/23,Choice,Bishop Street,Londonderry,3,New Build,Wheelchair Standard,Urban,North,Derry & Strabane ,Foyle,54.98920896,-7.329239742,https://planningregister.planningsystemni.gov.uk/application/219686,Kevin Watson Group
Construction On-going,2018/19,2022/23,Clanmil,10 Saltwater Close,Ballywalter,1,Existing Satisfactory Purchase,General Needs,Rural,South,Ards & North Down,Strangford,54.5460408,-5.490504444,,
Construction On-going,2019/20,2023/24,Choice,"Kilwee, Upper Dunmurry Lane",Belfast,73,New Build,General Needs,Urban,Belfast,Belfast,West Belfast,54.56050908,-6.012433961,https://planningregister.planningsystemni.gov.uk/application/509749,Kelly Brothers
Construction On-going,2019/20,2023/24,Choice,"Kilwee, Upper Dunmurry Lane",Belfast,12,New Build,Active Elderly,Urban,Belfast,Belfast,West Belfast,54.5610953,-6.010471037,https://planningregister.planningsystemni.gov.uk/application/509749,Kelly Brothers
Construction On-going,2019/20,2023/24,Choice,"Kilwee, Upper Dunmurry Lane",Belfast,5,New Build,Wheelchair Standard,Urban,Belfast,Belfast,West Belfast,54.56051532,-6.011104778,https://planningregister.planningsystemni.gov.uk/application/509749,Kelly Brothers
Construction On-going,2019/20,2022/23,Connswater,Lands adjacent to 91 Gilnahirk Road,Belfast,6,New Build,Active Elderly,Urban,Belfast,Belfast,East Belfast,54.58447314,-5.842642113,https://planningregister.planningsystemni.gov.uk/application/495785,
Construction On-going,2020/21,2022/23,Apex,"Galliagh, Phase 5",Londonderry,26,New Build,General Needs,Urban,North,Derry & Strabane ,Foyle,55.03220306,-7.342432926,https://planningregister.planningsystemni.gov.uk/application/211025,Kevin Watson Group
Construction On-going,2020/21,2022/23,Apex,"Galliagh, Phase 5",Londonderry,2,New Build,Wheelchair Standard,Urban,North,Derry & Strabane ,Foyle,55.03160409,-7.344318174,https://planningregister.planningsystemni.gov.uk/application/211025,Kevin Watson Group
Construction On-going,2020/21,2023/24,Apex,"Rathmoyle, 1 Mary Street",Ballycastle,25,New Build,Active Elderly,Urban,North,Causeway Coast & Glens,North Antrim,55.20399117,-6.23954455,https://planningregister.planningsystemni.gov.uk/application/138089,
Construction On-going,2020/21,2023/24,Apex,"Rathmoyle, 1 Mary Street",Ballycastle,3,New Build,Wheelchair Standard,Urban,North,Causeway Coast & Glens,North Antrim,55.20382499,-6.239635555,https://planningregister.planningsystemni.gov.uk/application/138089,
Construction On-going,2020/21,2024/25,Apex,Craigmore Way,Newry,230,New Build,General Needs,Urban,South,Newry Mourne & Down,Newry & Armagh,54.18915154,-6.352426027,https://planningregister.planningsystemni.gov.uk/application/504614,Kevin Watson Group
